Band,SZA,VZA,RAA,R_atm
B1,40,30,100,0.094
B1,40,30,110,0.09
B1,40,30,120,0.086
B1,40,30,130,0.084
B1,40,30,140,0.081
B1,40,30,150,0.08
B1,40,30,160,0.079
B1,40,30,170,0.078
B1,40,30,180,0.078
B1,40,40,0,0.147
B1,40,40,10,0.146
B1,40,40,20,0.144
B1,40,40,30,0.14
B1,40,40,40,0.135
B1,40,40,50,0.129
B1,40,40,60,0.122
B1,40,40,70,0.116
B1,40,40,80,0.109
B1,40,40,90,0.103
B1,40,40,100,0.098
B1,40,40,110,0.093
B1,40,40,120,0.09
B1,40,40,130,0.087
B1,40,40,140,0.085
B1,40,40,150,0.083
B1,40,40,160,0.082
B1,40,40,170,0.082
B1,40,40,180,0.081
B1,40,50,0,0.169
B1,40,50,10,0.168
B1,40,50,20,0.165
B1,40,50,30,0.159
B1,40,50,40,0.153
B1,40,50,50,0.145
B1,40,50,60,0.137
B1,40,50,70,0.128
B1,40,50,80,0.12
B1,40,50,90,0.113
B1,40,50,100,0.107
B1,40,50,110,0.102
B1,40,50,120,0.099
B1,40,50,130,0.096
B1,40,50,140,0.094
B1,40,50,150,0.093
B1,40,50,160,0.093
B1,40,50,170,0.093
B1,40,50,180,0.093
B1,40,60,0,0.2
B1,40,60,10,0.198
B1,40,60,20,0.194
B1,40,60,30,0.187
B1,40,60,40,0.179
B1,40,60,50,0.169
B1,40,60,60,0.158
B1,40,60,70,0.148
B1,40,60,80,0.139
B1,40,60,90,0.131
B1,40,60,100,0.125
B1,40,60,110,0.12
B1,40,60,120,0.117
B1,40,60,130,0.116
B1,40,60,140,0.116
B1,40,60,150,0.116
B1,40,60,160,0.117
B1,40,60,170,0.117
B1,40,60,180,0.118
B1,40,70,0,0.249
B1,40,70,10,0.248
B1,40,70,20,0.242
B1,40,70,30,0.233
B1,40,70,40,0.222
B1,40,70,50,0.209
B1,40,70,60,0.196
B1,40,70,70,0.184
B1,40,70,80,0.174
B1,40,70,90,0.165
B1,40,70,100,0.16
B1,40,70,110,0.157
B1,40,70,120,0.156
B1,40,70,130,0.157
B1,40,70,140,0.16
B1,40,70,150,0.163
B1,40,70,160,0.166
B1,40,70,170,0.168
B1,40,70,180,0.168
B1,40,80,0,0.345
B1,40,80,10,0.342
B1,40,80,20,0.334
B1,40,80,30,0.322
B1,40,80,40,0.307
B1,40,80,50,0.291
B1,40,80,60,0.274
B1,40,80,70,0.26
B1,40,80,80,0.248
B1,40,80,90,0.24
B1,40,80,100,0.237
B1,40,80,110,0.237
B1,40,80,120,0.242
B1,40,80,130,0.249
B1,40,80,140,0.258
B1,40,80,150,0.266
B1,40,80,160,0.273
B1,40,80,170,0.278
B1,40,80,180,0.28
B1,50,0,0,0.097
B1,50,0,10,0.097
B1,50,0,20,0.097
B1,50,0,30,0.097
B1,50,0,40,0.097
